Date,Rate
2018-01-02,0.7837
2018-01-03,0.7816
2018-01-04,0.7835
2018-01-05,0.7857
2018-01-08,0.7842
2018-01-09,0.7854
2018-01-10,0.7828
2018-01-11,0.7873
2018-01-12,0.7885
2018-01-15,0.7946
2018-01-16,0.7968
2018-01-17,0.7955
2018-01-18,0.7964
2018-01-19,0.8019
2018-01-22,0.7990
2018-01-23,0.7989
2018-01-24,0.8016
2018-01-25,0.8094
2018-01-29,0.8096
2018-01-30,0.8070
2018-01-31,0.8073
2018-02-01,0.8044
2018-02-02,0.7997
2018-02-05,0.7929
2018-02-06,0.7844
2018-02-07,0.7883
2018-02-08,0.7812
2018-02-09,0.7779
2018-02-12,0.7834
2018-02-13,0.7870
2018-02-14,0.7877
2018-02-15,0.7933
2018-02-16,0.7965
2018-02-19,0.7920
2018-02-20,0.7926
2018-02-21,0.7852
2018-02-22,0.7806
2018-02-23,0.7821
2018-02-26,0.7863
2018-02-27,0.7847
2018-02-28,0.7792
2018-03-01,0.7731
2018-03-02,0.7756
2018-03-05,0.7752
2018-03-06,0.7773
2018-03-07,0.7804
2018-03-08,0.7830
2018-03-09,0.7792
2018-03-12,0.7869
2018-03-13,0.7870
2018-03-14,0.7871
2018-03-15,0.7876
2018-03-16,0.7790
2018-03-19,0.7691
2018-03-20,0.7703
2018-03-21,0.7697
2018-03-22,0.7744
2018-03-23,0.7711
2018-03-26,0.7723
2018-03-27,0.7738
2018-03-28,0.7694
2018-03-29,0.7665
2018-04-03,0.7685
2018-04-04,0.7700
2018-04-05,0.7690
2018-04-06,0.7677
2018-04-09,0.7691
2018-04-10,0.7733
2018-04-11,0.7749
2018-04-12,0.7751
2018-04-13,0.7780
2018-04-16,0.7769
2018-04-17,0.7771
2018-04-18,0.7771
2018-04-19,0.7804
2018-04-20,0.7714
2018-04-23,0.7673
2018-04-24,0.7608
2018-04-26,0.7574
2018-04-27,0.7545
2018-04-30,0.7570
2018-05-01,0.7540
2018-05-02,0.7503
2018-05-03,0.7524
2018-05-04,0.7538
2018-05-07,0.7520
2018-05-08,0.7514
2018-05-09,0.7435
2018-05-10,0.7458
2018-05-11,0.7534
2018-05-14,0.7549
2018-05-15,0.7508
2018-05-16,0.7484
2018-05-17,0.7540
2018-05-18,0.7519
2018-05-21,0.7519
2018-05-22,0.7588
2018-05-23,0.7541
2018-05-24,0.7562
2018-05-25,0.7565
2018-05-28,0.7578
2018-05-29,0.7535
2018-05-30,0.7501
2018-05-31,0.7564
2018-06-01,0.7541
2018-06-04,0.7615
2018-06-05,0.7633
2018-06-06,0.7664
2018-06-07,0.7659
2018-06-08,0.7609
2018-06-12,0.7615
2018-06-13,0.7574
2018-06-14,0.7555
2018-06-15,0.7465
2018-06-18,0.7450
2018-06-19,0.7380
2018-06-20,0.7402
2018-06-21,0.7360
2018-06-22,0.7398
2018-06-25,0.7419
2018-06-26,0.7416
2018-06-27,0.7380
2018-06-28,0.7353
2018-06-29,0.7391
2018-07-02,0.7382
2018-07-03,0.7360
2018-07-04,0.7401
2018-07-05,0.7378
2018-07-06,0.7408
2018-07-09,0.7467
2018-07-10,0.7457
2018-07-11,0.7408
2018-07-12,0.7384
2018-07-13,0.7416
2018-07-16,0.7436
2018-07-17,0.7427
2018-07-18,0.7361
2018-07-19,0.7411
2018-07-20,0.7375
2018-07-23,0.7423
2018-07-24,0.7376
2018-07-25,0.7402
2018-07-26,0.7436
2018-07-27,0.7389
2018-07-30,0.7397
2018-07-31,0.7431
2018-08-01,0.7407
2018-08-02,0.7385
2018-08-03,0.7370
2018-08-07,0.7402
2018-08-08,0.7427
2018-08-09,0.7441
2018-08-10,0.7331
2018-08-13,0.7279
2018-08-14,0.7271
2018-08-15,0.7213
2018-08-16,0.7275
2018-08-17,0.7270
2018-08-20,0.7306
2018-08-21,0.7360
2018-08-22,0.7356
2018-08-23,0.7294
2018-08-24,0.7280
2018-08-27,0.7323
2018-08-28,0.7328
2018-08-29,0.7309
2018-08-30,0.7280
2018-08-31,0.7260
2018-09-03,0.7200
2018-09-04,0.7228
2018-09-05,0.7186
2018-09-06,0.7171
2018-09-07,0.7151
2018-09-10,0.7115
2018-09-11,0.7126
2018-09-12,0.7103
2018-09-13,0.7181
2018-09-14,0.7200
2018-09-17,0.7162
2018-09-18,0.7207
2018-09-19,0.7248
2018-09-20,0.7260
2018-09-21,0.7296
2018-09-24,0.7262
2018-09-25,0.7244
2018-09-26,0.7264
2018-09-27,0.7233
2018-09-28,0.7222
2018-10-02,0.7200
2018-10-03,0.7182
2018-10-04,0.7085
2018-10-05,0.7065
2018-10-08,0.7059
2018-10-09,0.7090
2018-10-10,0.7118
2018-10-11,0.7072
2018-10-12,0.7123
2018-10-15,0.7108
2018-10-16,0.7122
2018-10-17,0.7136
2018-10-18,0.7131
2018-10-19,0.7109
2018-10-22,0.7107
2018-10-23,0.7063
2018-10-24,0.7104
2018-10-25,0.7077
2018-10-26,0.7034
2018-10-29,0.7099
2018-10-30,0.7093
2018-10-31,0.7085
2018-11-01,0.7130
2018-11-02,0.7243
2018-11-05,0.7189
2018-11-06,0.7213
2018-11-07,0.7264
2018-11-08,0.7274
2018-11-09,0.7244
2018-11-12,0.7226
2018-11-13,0.7212
2018-11-14,0.7217
2018-11-15,0.7279
2018-11-16,0.7269
2018-11-19,0.7308
2018-11-20,0.7274
2018-11-21,0.7235
2018-11-22,0.7250
2018-11-23,0.7250
2018-11-26,0.7250
2018-11-27,0.7228
2018-11-28,0.7233
2018-11-29,0.7314
2018-11-30,0.7316
2018-12-03,0.7367
2018-12-04,0.7375
2018-12-05,0.7288
2018-12-06,0.7226
2018-12-07,0.7233
2018-12-10,0.7221
2018-12-11,0.7205
2018-12-12,0.7215
2018-12-13,0.7226
2018-12-14,0.7189
2018-12-17,0.7173
2018-12-18,0.7189
2018-12-19,0.7193
2018-12-20,0.7095
2018-12-21,0.7110
2018-12-24,0.7065
2018-12-27,0.7060
2018-12-28,0.7051
2018-12-31,0.7058
2019-01-02,0.7020
2019-01-03,0.6945
2019-01-04,0.7024
2019-01-07,0.7133
2019-01-08,0.7130
2019-01-09,0.7154
2019-01-10,0.7185
2019-01-11,0.7220
2019-01-14,0.7184
2019-01-15,0.7212
2019-01-16,0.7196
2019-01-17,0.7152
2019-01-18,0.7193
2019-01-21,0.7169
2019-01-22,0.7137
2019-01-23,0.7137
2019-01-24,0.7110
2019-01-25,0.7095
2019-01-29,0.7167
2019-01-30,0.7195
2019-01-31,0.7268
2019-02-01,0.7241
2019-02-04,0.7227
2019-02-05,0.7260
2019-02-06,0.7153
2019-02-07,0.7099
2019-02-08,0.7076
2019-02-11,0.7093
2019-02-12,0.7072
2019-02-13,0.7134
2019-02-14,0.7119
2019-02-15,0.7093
2019-02-18,0.7150
2019-02-19,0.7113
2019-02-20,0.7163
2019-02-21,0.7162
2019-02-22,0.7093
2019-02-25,0.7144
2019-02-26,0.7159
2019-02-27,0.7183
2019-02-28,0.7146
2019-03-01,0.7093
2019-03-04,0.7095
2019-03-05,0.7076
2019-03-06,0.7035
2019-03-07,0.7049
2019-03-08,0.7009
2019-03-11,0.7044
2019-03-12,0.7069
2019-03-13,0.7055
2019-03-14,0.7059
2019-03-15,0.7081
2019-03-18,0.7115
2019-03-19,0.7105
2019-03-20,0.7075
2019-03-21,0.7145
2019-03-22,0.7106
2019-03-25,0.7079
2019-03-26,0.7122
2019-03-27,0.7101
2019-03-28,0.7097
2019-03-29,0.7087
2019-04-01,0.7121
2019-04-02,0.7080
2019-04-03,0.7106
2019-04-04,0.7111
2019-04-05,0.7125
2019-04-08,0.7094
2019-04-09,0.7136
2019-04-10,0.7144
2019-04-11,0.7163
2019-04-12,0.7132
2019-04-15,0.7168
2019-04-16,0.7147
2019-04-17,0.7200
2019-04-18,0.7183
2019-04-23,0.7121
2019-04-24,0.7039
2019-04-26,0.7025
2019-04-29,0.7056
2019-04-30,0.7039
2019-05-01,0.7054
2019-05-02,0.7020
2019-05-03,0.6998
2019-05-06,0.6989
2019-05-07,0.7034
2019-05-08,0.7023
2019-05-09,0.6976
2019-05-10,0.6995
2019-05-13,0.6976
2019-05-14,0.6955
2019-05-15,0.6932
2019-05-16,0.6914
2019-05-17,0.6881
